Field,Type,Collation,Null,Key,Comment
ESR _ spectr _ type,mediumtext,utf8 _ general _ ci,YES,,ESR spectrometre type
Meas _ temp,longtext,utf8 _ general _ ci,YES,,Measurement temperature (K)
AAcquisition _ parameters,mediumtext,utf8 _ general _ ci,YES,,Acquisition parameters
Paramagnetic _ centre,mediumtext,utf8 _ general _ ci,YES,,ESR signal
Nb _ Scans,varchar(45),utf8 _ general _ ci,YES,,Number of scans
Nb _ repeat _ meas,varchar(45),utf8 _ general _ ci,YES,,Number of repeated measurements
Nb _ rotations,varchar(45),utf8 _ general _ ci,YES,,Number of rotations in the cavity
ESR _ Sign _ int,mediumtext,utf8 _ general _ ci,YES,,Evaluation of the ESR signal intensity
Corr _ ESR _ int,mediumtext,utf8 _ general _ ci,YES,,Correction of the ESR intensities
Bleaching _ coeff,mediumtext,utf8 _ general _ ci,YES,,Bleaching coefficient (%)
Fitting _ prog _ err _ calc,mediumtext,utf8 _ general _ ci,YES,,Fitting program and error calculation
Fitting function,mediumtext,utf8 _ general _ ci,YES,,Fitting function
Data _ weight _ fitting,mediumtext,utf8 _ general _ ci,YES,,Data weighting used for fitting
Equivalent _ dose,varchar(45),utf8 _ general _ ci,YES,,Equivalent dose estimate (Gy)
Equivalent _ dose _ err,varchar(45),utf8 _ general _ ci,YES,,Equivalent dose estimate undertainty (±1sigma) (Gy)
Depth,varchar(45),utf8 _ general _ ci,YES,,Depth (m)
Technique,longtext,utf8 _ general _ ci,YES,,Technique
Dose _ rate _ unc _ type,varchar(45),utf8 _ general _ ci,YES,,Dose rate uncertainty type
extU,varchar(45),utf8 _ general _ ci,YES,,external U (ppm)
extU _ unc,varchar(45),utf8 _ general _ ci,YES,,external U error (ppm)
extTh,varchar(45),utf8 _ general _ ci,YES,,external Th (ppm)
extTh _ unc,varchar(45),utf8 _ general _ ci,YES,,external Th error (ppm)
extK,varchar(45),utf8 _ general _ ci,YES,,external K (%)
extK _ unc,varchar(45),utf8 _ general _ ci,YES,,external K error (%)
extRb,varchar(45),utf8 _ general _ ci,YES,,external Rb (ppm)
extRb _ unc,varchar(45),utf8 _ general _ ci,YES,,external Rb error (ppm)
Ext _ dose _ rate,varchar(45),utf8 _ general _ ci,YES,,External dose rate (Gy/ka)
Ext _ dose _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,External dose rate uncertainty (Gy/ka)
intU,varchar(45),utf8 _ general _ ci,YES,,internal U (ppm)
intU _ unc,varchar(45),utf8 _ general _ ci,YES,,internal U error (ppm)
intTh,varchar(45),utf8 _ general _ ci,YES,,internal Th (ppm)
intTh _ unc,varchar(45),utf8 _ general _ ci,YES,,internal Th error (ppm)
intK,varchar(45),utf8 _ general _ ci,YES,,internal K (%)
intK _ unc,varchar(45),utf8 _ general _ ci,YES,,internal K error (%)
intRb,varchar(45),utf8 _ general _ ci,YES,,internal Rb (ppm)
intRb _ unc,varchar(45),utf8 _ general _ ci,YES,,internal Rb error (ppm)
Int _ dose _ rate,varchar(45),utf8 _ general _ ci,YES,,Internal dose rate (Gy/ka)
Int _ dose _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,Internal dose rate uncertainty (Gy/ka)
Alpha _ rate _ val,varchar(45),utf8 _ general _ ci,YES,,Alpha dose rate (Gy/ka)
Alpha _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,Alpha dose rate error (Gy/ka)
Gamma _ rate _ val,varchar(45),utf8 _ general _ ci,YES,,Gamma dose rate (Gy/ka)
Gamma _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,Gamma dose rate error (Gy/ka)
Beta _ rate _ val,varchar(45),utf8 _ general _ ci,YES,,Beta dose rate (Gy/ka)
Beta _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,Beta dose rate error (Gy/ka)
Cosmic _ rate _ val,varchar(45),utf8 _ general _ ci,YES,,Cosmic dose rate (Gy/ka)
Cosmic _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,Cosmic dose rate error (Gy/ka)
Field _ water,varchar(45),utf8 _ general _ ci,YES,,Field water content (% of dry mass)
Water _ cont _ det,longtext,utf8 _ general _ ci,YES,,Water content determination method
Water _ cont _ val,varchar(45),utf8 _ general _ ci,YES,,Water content used (%)
Water _ cont _ unc,varchar(45),utf8 _ general _ ci,YES,,Water content used error (%)
Atten _ fact,longtext,utf8 _ general _ ci,YES,,Attenuation factors
Conv _ fact,longtext,utf8 _ general _ ci,YES,,Conversion factors
Alpha _ eff _ fact,longtext,utf8 _ general _ ci,YES,,Alpha efficiency factor
Etching _ method,longtext,utf8 _ general _ ci,YES,,Etching method
etch _ depth,varchar(45),utf8 _ general _ ci,YES,,Etch depth (µm)
etch _ depth _ unc,varchar(45),utf8 _ general _ ci,YES,,Etch depth error (µm)
Total _ dose _ rate,varchar(45),utf8 _ general _ ci,YES,,Total dose rate (Gy/ka)
Total _ dose _ rate _ unc,varchar(45),utf8 _ general _ ci,YES,,Total dose rate uncertainty (Gy/ka)
Notes,longtext,utf8 _ general _ ci,YES,,Comments and notes
Createdby,varchar(45),utf8 _ general _ ci,YES,,Record created by
Updatedby,varchar(45),utf8 _ general _ ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,mySQL coordinates
