Field,Type,Collation,Null,Key,Comment
Calib _ Age,varchar(45),utf8 _ general _ ci,YES,,Calibration age (ka)
Calib _ Age _ unc,varchar(45),utf8 _ general _ ci,YES,,Calibration age (ka) uncertainty (±1sigma)
Indep _ age _ choice,varchar(45),utf8 _ general _ ci,YES,,Independent age choice
IndepAgeMethod,longtext,utf8 _ general _ ci,YES,,Independent age method
IndepAgeLab,mediumtext,utf8 _ general _ ci,YES,,Independent age laboratory
IndepAgeLabID,mediumtext,utf8 _ general _ ci,YES,,Independent age laboratory ID
IndepAgeResult,longtext,utf8 _ general _ ci,YES,,Independent age result
IndepAgeRef,mediumtext,utf8 _ general _ ci,YES,,Independent age reference
Useries constraint,varchar(45),utf8 _ general _ ci,YES,,U-Series age constraint
ESR constraint,varchar(45),utf8 _ general _ ci,YES,,ESR age constraint
Luminescene constraint,varchar(45),utf8 _ general _ ci,YES,,Luminescence age constraint
Strat constraint,varchar(45),utf8 _ general _ ci,YES,,Stratigraphic age constraint
Createdby,varchar(45),utf8 _ general _ ci,YES,,Record created by
Updatedby,varchar(45),utf8 _ general _ ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,mySQL coordinates
