Field,Type,Collation,Null,Key,Comment
234U _ 238U _ init _ unc,varchar(45),utf8 _ general _ ci,YES,,Initial 234U/238U uncertainty (±2sigma)
234U _ 238U _ meas,varchar(45),utf8 _ general _ ci,YES,,Measured 234U/238U
234U _ 238U _ meas _ unc,varchar(45),utf8 _ general _ ci,YES,,Measured 234U/238U uncertainty (±2sigma)
Meas _ delta234U,varchar(45),utf8 _ general _ ci,YES,,Measured delta234U
Meas _ delta234U _ unc,varchar(45),utf8 _ general _ ci,YES,,Measured delta234U uncertainty (±2sigma)
Comments _ Age,longtext,utf8 _ general _ ci,YES,,Comments on age determination
Ref _ 230Th _ 238U,varchar(45),utf8 _ general _ ci,YES,,Reference material name for 230Th/238U
Ref _ 234U _ 238U,varchar(45),utf8 _ general _ ci,YES,,Reference material name for 234U/238U
Corr _ 230Th _ 238U,varchar(45),utf8 _ general _ ci,YES,,Correction factor for 230Th/238U
Corr _ 230Th _ 238U _ unc,varchar(45),utf8 _ general _ ci,YES,,Correction factor for 230Th/238U uncertainty (±2sigma)
Corr _ 234U _ 238U,varchar(45),utf8 _ general _ ci,YES,,Correction factor for 234U/238U
Corr _ 234U _ 238U _ unc,varchar(45),utf8 _ general _ ci,YES,,Correction factor for 234U/238U uncertainty (±2sigma)
Comments,longtext,utf8 _ general _ ci,YES,,Comments
Rec _ 230Th _ 238U _ ACT,varchar(45),utf8 _ general _ ci,YES,,Recalculated [230Th/238U]ACT
Rec _ 230Th _ 238U _ ACT _ unc,varchar(45),utf8 _ general _ ci,YES,,Recalculated [230Th/238U]ACT uncertainty (±2sigma)
Rec _ 234U _ 238 _ ACT,varchar(45),utf8 _ general _ ci,YES,,Recalculated [234U/238U]ACT
Rec _ 234U _ 238U _ ACT _ unc,varchar(45),utf8 _ general _ ci,YES,,Recalculated [234U/238U]ACT uncertainty (±2sigma)
Rec _ age,varchar(45),utf8 _ general _ ci,YES,,Recalculated Conventional Age (ka)
Rec _ age _ unc,varchar(45),utf8 _ general _ ci,YES,,Recalculated Conventional Age uncert. (±2sigma)
Rec _ d234U _ init,varchar(45),utf8 _ general _ ci,YES,,Recalculated delta 234Ui (‰)
Rec _ d234U _ unc,varchar(45),utf8 _ general _ ci,YES,,Recalculated delta 234Ui uncertainty (±2sigma)
Rec _ Conv _ age _ no _ decay,varchar(45),utf8 _ general _ ci,YES,,Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2sigma)
Rec _ d234Init _ no _ decay,varchar(45),utf8 _ general _ ci,YES,,Recalculated delta 234Ui uncert. (±2sigma) w/ decay constant uncertainties
Comments age and d234Ui,longtext,utf8 _ general _ ci,YES,,Comments (age and delta234i)
MISchoice _ limit,varchar(45),utf8 _ general _ ci,YES,,Age is Older/Equal/Younger than
MISchoice,varchar(45),utf8 _ general _ ci,YES,,Marine Isotopic Stage
Age determination,longtext,utf8 _ general _ ci,YES,,Age determination
Createdby,varchar(45),utf8 _ general _ ci,YES,,Record created by
Updatedby,varchar(45),utf8 _ general _ ci,YES,,Record updated by
LastUpdate,datetime,,YES,,Last Update
coord,point,,YES,,MySQL coordinates
